[INFO] Tracklet folders on disk: 1427
[INFO] Labels in gt json:        1427
[WARN] Skipping tracklet=100 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1148 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1150 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1155 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1157 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1158 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1161 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1162 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1163 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1166 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1170 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1174 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1175 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1177 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1195 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1198 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=12 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=120 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1200 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1204 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1207 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=121 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1215 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1216 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1217 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1218 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1219 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=122 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1220 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1221 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1222 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1224 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1225 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=123 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1240 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1241 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1245 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=125 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1253 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1254 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1255 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1263 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1265 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1268 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1274 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1275 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1276 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1278 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1284 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1285 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1286 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1287 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=129 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1291 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1293 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1295 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1296 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=13 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1300 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1302 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1303 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1306 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1307 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1309 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=131 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1314 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1315 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1316 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1317 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1323 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1325 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1326 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1327 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1333 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1348 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1351 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1361 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1362 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1363 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1367 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1369 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1372 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1373 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1375 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1379 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1381 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1389 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1390 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1391 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1392 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1394 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=14 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1401 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1403 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1405 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1408 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1409 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1410 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1413 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1415 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1420 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1425 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=146 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=147 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=148 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=150 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=152 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=156 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=16 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=166 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=174 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=176 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=178 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=18 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=184 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=185 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=186 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=190 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=191 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=192 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=193 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=194 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=196 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=197 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=200 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=201 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=203 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=206 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=209 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=21 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=211 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=221 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=225 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=226 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=23 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=239 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=24 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=241 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=247 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=249 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=25 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=251 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=252 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=266 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=27 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=272 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=274 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=275 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=28 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=29 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=293 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=299 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=30 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=321 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=323 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=325 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=328 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=329 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=333 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=335 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=337 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=338 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=339 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=343 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=345 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=346 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=349 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=355 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=368 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=370 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=371 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=38 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=380 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=381 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=382 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=394 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=397 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=400 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=401 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=403 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=404 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=408 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=410 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=411 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=413 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=414 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=416 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=417 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=421 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=422 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=424 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=429 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=437 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=438 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=439 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=440 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=441 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=443 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=445 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=446 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=447 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=453 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=454 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=469 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=470 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=474 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=478 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=479 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=484 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=495 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=498 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=5 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=50 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=503 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=507 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=509 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=51 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=510 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=511 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=514 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=515 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=521 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=525 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=527 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=528 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=538 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=539 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=544 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=547 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=550 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=560 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=562 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=565 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=569 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=570 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=573 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=574 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=579 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=586 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=587 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=588 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=594 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=596 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=597 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=607 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=608 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=616 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=625 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=643 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=645 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=646 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=649 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=65 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=650 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=652 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=659 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=670 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=677 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=679 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=681 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=682 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=683 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=69 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=691 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=694 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=696 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=70 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=701 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=702 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=706 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=707 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=718 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=72 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=720 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=721 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=729 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=731 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=732 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=733 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=736 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=737 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=74 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=741 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=75 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=76 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=761 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=763 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=764 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=765 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=766 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=77 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=772 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=783 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=786 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=787 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=788 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=794 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=799 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=800 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=801 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=808 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=81 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=810 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=812 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=815 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=822 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=823 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=825 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=826 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=831 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=838 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=839 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=84 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=843 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=849 due to label issue: Jersey number must be non-negative, got: -1
